Instance,x,y,z
1,0.749615,0.76936,0.894433
2,0.689642,0.756843,0.865818
3,0.917458,0.836015,0.919558
4,0,0.712327,0.772652
5,0.868184,0.792597,0.885749
6,0.43929,0.388044,0.458163
7,0.894104,0.885503,0.944575
8,0.851211,0.809524,0.847583
9,0.676854,0.758737,0.832075
10,0.656216,0.846868,0.910017
11,0.808311,0.865876,0.939786
12,0.671106,0.842625,0.857985
13,0.447787,0.90899,0.974404
14,0.685799,0.708453,0.918594
15,0.377801,0.780619,0.955011
16,0.58892,0.896449,0.966616
17,0.387319,0.785544,0.868865
18,0.474202,0.729507,0.845841
19,0.526942,0.847765,0.928143
20,0.444011,0.894051,0.93237
21,0.519743,0.71473,0.872621
22,0.350531,0.565791,0.779627
23,0.44933,0.558938,0.813949
24,0.61934,0.761129,0.860149
25,0.364249,0.804471,0.93958
26,0.416071,0.774416,0.89956
27,0.205212,0.862586,0.957012
28,0.253227,0.780935,0.977557
29,0.636009,0.928536,0.977442
30,0.194686,0.885053,0.928467
31,0.405525,0.730815,0.907695
32,0.268485,0.762494,0.915097
33,0.398594,0.658053,0.867301
34,0.596585,0.901737,0.971707
35,0.558912,0.633853,0.874388
36,0.518745,0.639072,0.861649
37,0.439543,0.5192,0.821822
38,0.531399,0.499781,0.794613
39,0.553504,0.560131,0.840281
40,0.405582,0.463207,0.77467
41,0.920011,0.865515,0.866627
42,0.771462,0.849648,0.900867
43,0.750505,0.706538,0.866504
44,0.732043,0.813333,0.745555
45,0.675855,0.853756,0.938156
46,0.723581,0.92706,0.9439
47,0.702663,0.807138,0.930069
48,0.779056,0.971404,0.920519
49,0.491966,0.614933,0.848525
50,0.64936,0.714634,0.934588
51,0.602727,0.786951,0.862577
52,0.639188,0.777862,0.89808
53,0.749963,0.491431,0.808201
54,0.644445,0.731186,0.928111
55,0.677678,0.659788,0.728182
56,0.543722,0.500215,0.744319
